Title,Artist,Album,Track,Year,Length,Size,Last Modified,Path,Filename,Genre
Anywhere Out of the World,Dead Can Dance,Within the Realm of a Dying Sun,1,1987,308,27.10 MB,5/21/2012,D:\Music Library\Music (FLAC)\Dead Can Dance\Within the Realm of a Dying Sun\,01 Anywhere Out of the World.flac,Classical
Cantara,Dead Can Dance,Within the Realm of a Dying Sun,6,1987,358,33.31 MB,5/21/2012,D:\Music Library\Music (FLAC)\Dead Can Dance\Within the Realm of a Dying Sun\,06 Cantara.flac,Classical
Xavier,Dead Can Dance,Within the Realm of a Dying Sun,4,1987,376,34.42 MB,5/21/2012,D:\Music Library\Music (FLAC)\Dead Can Dance\Within the Realm of a Dying Sun\,04 Xavier.flac,Classical
Persephone (The Gathering of Flowers),Dead Can Dance,Within the Realm of a Dying Sun,8,1987,396,31.73 MB,5/21/2012,D:\Music Library\Music (FLAC)\Dead Can Dance\Within the Realm of a Dying Sun\,08 Persephone (The Gathering of Flowers).flac,Classical
"32 Variations on an Original Theme in C Minor, WoO80: xii. Variations 28-29",Denis Matthews,Big Beethoven Box,131/176,2012,32,1.26 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"131 - 32 Variations on an Original Theme in C Minor, WoO80_ xii. Variations 28-29.mp3",Classical
"32 Variations on an Original Theme in C Minor, WoO80: v. Variations 13, 14",Denis Matthews,Big Beethoven Box,124/176,2012,35,1.36 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"124 - 32 Variations on an Original Theme in C Minor, WoO80_ v. Variations 13, 14.mp3",Classical
"15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35: vii. Variation 6",Denis Matthews,Big Beethoven Box,146/176,2012,37,1.45 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"146 - 15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35_ vii. Variation 6.mp3",Classical
"15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35: ii. Variation 1",Denis Matthews,Big Beethoven Box,141/176,2012,38,1.47 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"141 - 15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35_ ii. Variation 1.mp3",Classical
"15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35: viii. Variation 7: Canone all'ottava",Denis Matthews,Big Beethoven Box,147/176,2012,39,1.49 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"147 - 15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35_ viii. Variation 7_.mp3",Classical
"15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35: x. Variation 9",Denis Matthews,Big Beethoven Box,149/176,2012,40,1.48 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"149 - 15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35_ x. Variation 9.mp3",Classical
"32 Variations on an Original Theme in C Minor, WoO80: ii. Variations 4-6",Denis Matthews,Big Beethoven Box,121/176,2012,41,1.54 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"121 - 32 Variations on an Original Theme in C Minor, WoO80_ ii. Variations 4-6.mp3",Classical
"15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35: iv. Variation 3",Denis Matthews,Big Beethoven Box,143/176,2012,41,1.53 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"143 - 15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35_ iv. Variation 3.mp3",Classical
"15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35: v. Variation 4",Denis Matthews,Big Beethoven Box,144/176,2012,41,1.57 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"144 - 15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35_ v. Variation 4.mp3",Classical
"15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35: xi. Variation 10",Denis Matthews,Big Beethoven Box,150/176,2012,42,1.60 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"150 - 15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35_ xi. Variation 10.mp3",Classical
"15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35: xii. Variation 11",Denis Matthews,Big Beethoven Box,151/176,2012,42,1.60 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"151 - 15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35_ xii. Variation 11.mp3",Classical
"15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35: xiv. Variation 13",Denis Matthews,Big Beethoven Box,153/176,2012,42,1.58 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"153 - 15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35_ xiv. Variation 13.mp3",Classical
"32 Variations on an Original Theme in C Minor, WoO80: ix. Variations 20-22",Denis Matthews,Big Beethoven Box,128/176,2012,44,1.56 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"128 - 32 Variations on an Original Theme in C Minor, WoO80_ ix. Variations 20-22.mp3",Classical
"15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35: xiii. Variation 12",Denis Matthews,Big Beethoven Box,152/176,2012,44,1.65 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"152 - 15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35_ xiii. Variation 12.mp3",Classical
"15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35: vi. Variation 5",Denis Matthews,Big Beethoven Box,145/176,2012,47,1.75 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"145 - 15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35_ vi. Variation 5.mp3",Classical
"15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35: ix. Variation 8",Denis Matthews,Big Beethoven Box,148/176,2012,49,1.82 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"148 - 15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35_ ix. Variation 8.mp3",Classical
"15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35: iii. Variation 2",Denis Matthews,Big Beethoven Box,142/176,2012,53,1.92 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"142 - 15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35_ iii. Variation 2.mp3",Classical
"6 Variations in F Major on an Original Theme, Op. 34: iii. Var. 2. Allegro ma non troppo",Denis Matthews,Big Beethoven Box,135/176,2012,64,2.25 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"135 - 6 Variations in F Major on an Original Theme, Op. 34_ iii. Var. 2. Allegro ma non troppo.mp3",Classical
"6 Variations in F Major on an Original Theme, Op. 34: iv. Var. 3. Allegretto",Denis Matthews,Big Beethoven Box,136/176,2012,67,2.40 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"136 - 6 Variations in F Major on an Original Theme, Op. 34_ iv. Var. 3. Allegretto.mp3",Classical
"15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35: xv. Variation 14: Minore",Denis Matthews,Big Beethoven Box,154/176,2012,78,2.79 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"154 - 15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35_ xv. Variation 14_ M.mp3",Classical
"6 Variations in F Major on an Original Theme, Op. 34: i. Thema. Adagio. Cantabile",Denis Matthews,Big Beethoven Box,133/176,2012,84,2.98 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"133 - 6 Variations in F Major on an Original Theme, Op. 34_ i. Thema. Adagio. Cantabile.mp3",Classical
"6 Variations in F Major on an Original Theme, Op. 34: ii. Var. 1. Moderato",Denis Matthews,Big Beethoven Box,134/176,2012,88,3.04 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"134 - 6 Variations in F Major on an Original Theme, Op. 34_ ii. Var. 1. Moderato.mp3",Classical
"6 Variations in F Major on an Original Theme, Op. 34: v. Var. 4 Tempo di Menuetto",Denis Matthews,Big Beethoven Box,137/176,2012,95,3.28 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"137 - 6 Variations in F Major on an Original Theme, Op. 34_ v. Var. 4 Tempo di Menuetto.mp3",Classical
"6 Variations in F Major on an Original Theme, Op. 34: vi. Var. 5. Marcia",Denis Matthews,Big Beethoven Box,138/176,2012,120,3.92 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"138 - 6 Variations in F Major on an Original Theme, Op. 34_ vi. Var. 5. Marcia.mp3",Classical
"32 Variations on an Original Theme in C Minor, WoO80: xiii. Variations 30-32",Denis Matthews,Big Beethoven Box,132/176,2012,146,4.53 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"132 - 32 Variations on an Original Theme in C Minor, WoO80_ xiii. Variations 30-32.mp3",Classical
"15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35: i. Introduzione col Basso del Tema: Allegretto vivace. Tema: Allegretto vivace",Denis Matthews,Big Beethoven Box,140/176,2012,197,6.53 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"140 - 15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35_ i. Introduzione col.mp3",Classical
"15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35: xvi. Variation 15: Maggiore. Largo",Denis Matthews,Big Beethoven Box,155/176,2012,250,8.29 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"155 - 15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35_ xvi. Variation 15_.mp3",Classical
"6 Variations in F Major on an Original Theme, Op. 34: vii. Var. 6. Allegretto. Adagio molto",Denis Matthews,Big Beethoven Box,139/176,2012,257,8.07 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"139 - 6 Variations in F Major on an Original Theme, Op. 34_ vii. Var. 6. Allegretto. Adagio molto.mp3",Classical
"15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35: xvii. Finale: Alla Fuga. Allegro con brio. Andante con moto",Denis Matthews,Big Beethoven Box,156/176,2012,271,8.70 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"156 - 15 Variations and Fugue in E-flat Major on an Original Theme ('Eroica Variations'), Op.35_ xvii. Finale_ Alla.mp3",Classical
Scherzo (Molto vivace),Dvorak,Symphony No. 9: From the New World,3,1977,504,11.28 MB,4/1/2011,D:\Music Library\Music\Dvorak\Symphony No. 9_ From the New World\,03 Scherzo (Molto vivace).mp3,Classical
Adagio,Dvorak,Symphony No. 9: From the New World,1,1977,581,13.05 MB,4/1/2011,D:\Music Library\Music\Dvorak\Symphony No. 9_ From the New World\,01 Adagio.mp3,Classical
Allegro con fuoco,Dvorak,Symphony No. 9: From the New World,4,1977,666,14.79 MB,4/1/2011,D:\Music Library\Music\Dvorak\Symphony No. 9_ From the New World\,04 Allegro con fuoco.mp3,Classical
Allegro con fuoco,Dvorak,Symphony No. 9: From the New World,2,1977,729,16.09 MB,4/1/2011,D:\Music Library\Music\Dvorak\Symphony No. 9_ From the New World\,02 Allegro con fuoco.mp3,Classical
Bourrée (Vivace),Handel,Music for the Royal Fireworks/Watermusic Suite,9,1997,48,1.08 MB,4/1/2011,D:\Music Library\Music\Handel\Music for the Royal Fireworks_Watermusic Suite\,09 Bourrée (Vivace).mp3,Classical
Hornpipe,Handel,Music for the Royal Fireworks/Watermusic Suite,10,1997,57,1.21 MB,4/1/2011,D:\Music Library\Music\Handel\Music for the Royal Fireworks_Watermusic Suite\,10 Hornpipe.mp3,Classical
Menuet I,Handel,Music for the Royal Fireworks/Watermusic Suite,5,1997,90,2.05 MB,4/1/2011,D:\Music Library\Music\Handel\Music for the Royal Fireworks_Watermusic Suite\,05 Menuet I.mp3,Classical
Bourée,Handel,Music for the Royal Fireworks/Watermusic Suite,2,1997,108,2.39 MB,4/1/2011,D:\Music Library\Music\Handel\Music for the Royal Fireworks_Watermusic Suite\,02 Bourée.mp3,Classical
Menuet II,Handel,Music for the Royal Fireworks/Watermusic Suite,6,1997,166,3.70 MB,4/1/2011,D:\Music Library\Music\Handel\Music for the Royal Fireworks_Watermusic Suite\,06 Menuet II.mp3,Classical
Allegro,Handel,Music for the Royal Fireworks/Watermusic Suite,7,1997,174,3.82 MB,4/1/2011,D:\Music Library\Music\Handel\Music for the Royal Fireworks_Watermusic Suite\,07 Allegro.mp3,Classical
Hornpipe (Allegro deciso),Handel,Music for the Royal Fireworks/Watermusic Suite,12,1997,192,4.43 MB,4/1/2011,D:\Music Library\Music\Handel\Music for the Royal Fireworks_Watermusic Suite\,12 Hornpipe (Allegro deciso).mp3,Classical
La Paix (Largo alla siciliana),Handel,Music for the Royal Fireworks/Watermusic Suite,3,1997,207,5.01 MB,4/1/2011,D:\Music Library\Music\Handel\Music for the Royal Fireworks_Watermusic Suite\,03 La Paix (Largo alla siciliana).mp3,Classical
Andante espressivo,Handel,Music for the Royal Fireworks/Watermusic Suite,11,1997,229,5.19 MB,4/1/2011,D:\Music Library\Music\Handel\Music for the Royal Fireworks_Watermusic Suite\,11 Andante espressivo.mp3,Classical
La Réjouissance (Allegro),Handel,Music for the Royal Fireworks/Watermusic Suite,4,1997,231,5.30 MB,4/1/2011,D:\Music Library\Music\Handel\Music for the Royal Fireworks_Watermusic Suite\,04 La Réjouissance (Allegro).mp3,Classical
Air (Andante un poco Allegretto),Handel,Music for the Royal Fireworks/Watermusic Suite,8,1997,332,7.27 MB,4/1/2011,D:\Music Library\Music\Handel\Music for the Royal Fireworks_Watermusic Suite\,08 Air (Andante un poco Allegretto).mp3,Classical
Overture (Adagio - Allegro - Lentement - Allegro),Handel,Music for the Royal Fireworks/Watermusic Suite,1,1997,563,13.55 MB,4/1/2011,D:\Music Library\Music\Handel\Music for the Royal Fireworks_Watermusic Suite\,01 Overture (Adagio - Allegro - Lentement - Allegro).mp3,Classical
"Mercury, the Winged Messenger",Holst,The Planets,3,1987,239,5.27 MB,4/1/2011,D:\Music Library\Music\Holst\The Planets\,"03 Mercury, the Winged Messenger.mp3",Classical
"Uranus, the Magician",Holst,The Planets,6,1987,366,8.17 MB,4/1/2011,D:\Music Library\Music\Holst\The Planets\,"06 Uranus, the Magician.mp3",Classical
"Mars, the Bringer of War",Holst,The Planets,1,1987,432,9.89 MB,4/1/2011,D:\Music Library\Music\Holst\The Planets\,"01 Mars, the Bringer of War.mp3",Classical
"Neptune, the Mystic",Holst,The Planets,7,1987,476,10.18 MB,4/1/2011,D:\Music Library\Music\Holst\The Planets\,"07 Neptune, the Mystic.mp3",Classical
"Jupiter, the Bringer of Jollit",Holst,The Planets,4,1987,484,11.09 MB,4/1/2011,D:\Music Library\Music\Holst\The Planets\,"04 Jupiter, the Bringer of Jollit.mp3",Classical
"Venus, the Bringer of Peace",Holst,The Planets,2,1987,578,12.52 MB,4/1/2011,D:\Music Library\Music\Holst\The Planets\,"02 Venus, the Bringer of Peace.mp3",Classical
"Saturn, the Bringer of Old Age",Holst,The Planets,5,1987,596,12.70 MB,4/1/2011,D:\Music Library\Music\Holst\The Planets\,"05 Saturn, the Bringer of Old Age.mp3",Classical
Andante in C Major,Jörg Demus,Big Beethoven Box,114/176,2012,85,2.66 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,114 - Andante in C Major.mp3,Classical
"Bagatelle in C minor, WoO 54 (""Lustig und Traurig"")",Jörg Demus,Big Beethoven Box,117/176,2012,104,3.25 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"117 - Bagatelle in C minor, WoO 54 (_Lustig und Traurig_).mp3",Classical
Stucke fur die Spielhur #2 in G Major: Scherzo-allegro,Jörg Demus,Big Beethoven Box,119/176,2012,106,3.30 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,119 - Stucke fur die Spielhur #2 in G Major_ Scherzo-allegro.mp3,Classical
"Minuet in F Major , WoO7, No. 12",Jörg Demus,Big Beethoven Box,112/176,2012,114,3.55 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"112 - Minuet in F Major , WoO7, No. 12.mp3",Classical
Minuet in G Major,Jörg Demus,Big Beethoven Box,116/176,2012,136,4.06 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,116 - Minuet in G Major.mp3,Classical
"Rondo for Piano in C Major, WoO48",Jörg Demus,Big Beethoven Box,110/176,2012,139,4.23 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"110 - Rondo for Piano in C Major, WoO48.mp3",Classical
"Sonatina No. 1 in G Major, Kinsky-Halm Anh.5, No.1",Jörg Demus,Big Beethoven Box,108/176,2012,195,5.70 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"108 - Sonatina No. 1 in G Major, Kinsky-Halm Anh.5, No.1.mp3",Classical
"Six Variations on a Swiss Air in F Major, WoO64",Jörg Demus,Big Beethoven Box,111/176,2012,203,6.01 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"111 - Six Variations on a Swiss Air in F Major, WoO64.mp3",Classical
"Minuet in E-flat Major, WoO 82",Jörg Demus,Big Beethoven Box,113/176,2012,233,6.78 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"113 - Minuet in E-flat Major, WoO 82.mp3",Classical
"Sonatina No. 2 in F Major, Kinsky-Halm Anh.5, No.2",Jörg Demus,Big Beethoven Box,109/176,2012,284,8.46 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"109 - Sonatina No. 2 in F Major, Kinsky-Halm Anh.5, No.2.mp3",Classical
Stucke for Die Spieluhr #1 in F Major: Adagio assai,Jörg Demus,Big Beethoven Box,118/176,2012,304,8.83 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,118 - Stucke for Die Spieluhr #1 in F Major_ Adagio assai.mp3,Classical
Sonata in E-flat,Jörg Demus,Big Beethoven Box,115/176,2012,520,15.02 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,115 - Sonata in E-flat.mp3,Classical
"Bagatelle in A Minor ('Für Elise'), WoO59",Leon Fleisher,Big Beethoven Box,166/176,2012,213,6.54 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"166 - Bagatelle in A Minor ('Für Elise'), WoO59.mp3",Classical
"The Creatures of Prometheus, Op. 43: xii. Finale: Allegretto. Allegretto",Maurice Abravanel & Utah Symphony Orchestra,Big Beethoven Box,12/176,2012,404,11.85 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"12 - The Creatures of Prometheus, Op. 43_ xii. Finale_ Allegretto. Allegretto.mp3",Classical
"Egmont, complete incidental music, Op. 84: v. Lied: Freudvoll und leidvoll (Joyful and Sorrowful)","Maurice Abravanel , Utah Symphony Orchestra, Netania Davrath & Walther Reyer",Big Beethoven Box,36/176,2012,118,3.67 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"36 - Egmont, complete incidental music, Op. 84_ v. Lied_ Freudvoll und leidvoll (Joyful and Sorrowful).mp3",Classical
"Egmont, complete incidental music, Op. 84: ii. Lied: Die Trommel gerühret! (Roll the drum)","Maurice Abravanel , Utah Symphony Orchestra, Netania Davrath & Walther Reyer",Big Beethoven Box,33/176,2012,177,5.41 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"33 - Egmont, complete incidental music, Op. 84_ ii. Lied_ Die Trommel gerühret! (Roll the drum).mp3",Classical
"Egmont, complete incidental music, Op. 84: x .Siegessymphonie: Allegro con brio (Victory symphony)","Maurice Abravanel , Utah Symphony Orchestra, Netania Davrath & Walther Reyer",Big Beethoven Box,41/176,2012,187,5.87 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"41 - Egmont, complete incidental music, Op. 84_ x .Siegessymphonie_ Allegro con brio (Victory symphony).mp3",Classical
"Egmont, complete incidental music, Op. 84: iii. Entracte 1: Andante","Maurice Abravanel , Utah Symphony Orchestra, Netania Davrath & Walther Reyer",Big Beethoven Box,34/176,2012,204,6.21 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"34 - Egmont, complete incidental music, Op. 84_ iii. Entracte 1_ Andante.mp3",Classical
"Egmont, complete incidental music, Op. 84: vii. Entracte 4: Poco sostenuto e risoluto","Maurice Abravanel , Utah Symphony Orchestra, Netania Davrath & Walther Reyer",Big Beethoven Box,38/176,2012,214,6.48 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"38 - Egmont, complete incidental music, Op. 84_ vii. Entracte 4_ Poco sostenuto e risoluto.mp3",Classical
"Egmont, complete incidental music, Op. 84: viii. Klärchens Tod: Larghetto (The Death of Clärchen)","Maurice Abravanel , Utah Symphony Orchestra, Netania Davrath & Walther Reyer",Big Beethoven Box,39/176,2012,214,6.61 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"39 - Egmont, complete incidental music, Op. 84_ viii. Klärchens Tod_ Larghetto (The Death of Clärchen).mp3",Classical
"Egmont, complete incidental music, Op. 84: vi. Entracte 3: Allegro. Marcia: Vivace","Maurice Abravanel , Utah Symphony Orchestra, Netania Davrath & Walther Reyer",Big Beethoven Box,37/176,2012,264,8.22 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"37 - Egmont, complete incidental music, Op. 84_ vi. Entracte 3_ Allegro. Marcia_ Vivace.mp3",Classical
"Egmont, complete incidental music, Op. 84: ix. Melodrama: Poco sostenuto","Maurice Abravanel , Utah Symphony Orchestra, Netania Davrath & Walther Reyer",Big Beethoven Box,40/176,2012,281,8.35 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"40 - Egmont, complete incidental music, Op. 84_ ix. Melodrama_ Poco sostenuto.mp3",Classical
"Egmont, complete incidental music, Op. 84: iv. Entracte 2: Larghetto","Maurice Abravanel , Utah Symphony Orchestra, Netania Davrath & Walther Reyer",Big Beethoven Box,35/176,2012,368,10.82 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"35 - Egmont, complete incidental music, Op. 84_ iv. Entracte 2_ Larghetto.mp3",Classical
"Egmont, complete incidental music, Op. 84: i. Overture: Sostenuto, ma non troppo. Allegro","Maurice Abravanel , Utah Symphony Orchestra, Netania Davrath & Walther Reyer",Big Beethoven Box,32/176,2012,549,16.33 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"32 - Egmont, complete incidental music, Op. 84_ i. Overture_ Sostenuto, ma non troppo. Allegro.mp3",Classical
Don Giovanni: Overture,Mozart,Don Giovanni,1,2010,383,10.81 MB,4/1/2011,D:\Music Library\Music (VBR)\Mozart\Mozart Don Giovanni\,01 Don Giovanni- Overture.mp3,Classical
Don Giovanni: Act II,Mozart,Don Giovanni,3,2010,4717,127.93 MB,4/1/2011,D:\Music Library\Music (VBR)\Mozart\Mozart Don Giovanni\,03 Don Giovanni- Act II.mp3,Classical
Don Giovanni: Act I,Mozart,Don Giovanni,2,2010,4757,128.61 MB,4/1/2011,D:\Music Library\Music (VBR)\Mozart\Mozart Don Giovanni\,02 Don Giovanni- Act I.mp3,Classical
"Symphony No. 6, Op. 68: iv. Allegro",Philharmonic Promenade Orchestra of London & Adrian Boult,Big Beethoven Box,71/176,2012,229,7.02 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"71 - Symphony No. 6, Op. 68_ iv. Allegro.mp3",Classical
"Symphony No. 5 in C Minor, Op. 67: iii. Scherzo: Allegro",Philharmonic Promenade Orchestra of London & Adrian Boult,Big Beethoven Box,65/176,2012,316,9.54 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"65 - Symphony No. 5 in C Minor, Op. 67_ iii. Scherzo_ Allegro.mp3",Classical
"Symphony No. 6, Op. 68: iii. Allegro",Philharmonic Promenade Orchestra of London & Adrian Boult,Big Beethoven Box,70/176,2012,322,9.75 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"70 - Symphony No. 6, Op. 68_ iii. Allegro.mp3",Classical
"Symphony No. 3 in E-flat Major, Op. 55: III. Scherzo: Allegro vivace",Philharmonic Promenade Orchestra of London & Adrian Boult,Big Beethoven Box,60/176,2012,361,10.82 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"60 - Symphony No. 3 in E-flat Major, Op. 55_ III. Scherzo_ Allegro vivace.mp3",Classical
"Fidelio Overture, Op. 72",Philharmonic Promenade Orchestra of London & Adrian Boult,Big Beethoven Box,73/176,2012,372,11.20 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"73 - Fidelio Overture, Op. 72.mp3",Classical
"Coriolan Overture, Op. 62",Philharmonic Promenade Orchestra of London & Adrian Boult,Big Beethoven Box,62/176,2012,426,13.96 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"62 - Coriolan Overture, Op. 62.mp3",Classical
"Symphony No. 7 in A Major, Op. 92: IV. Finale: Allegro con brio",Philharmonic Promenade Orchestra of London & Adrian Boult,Big Beethoven Box,77/176,2012,464,14.11 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"77 - Symphony No. 7 in A Major, Op. 92_ IV. Finale_ Allegro con brio.mp3",Classical
"Symphony No. 5 in C Minor, Op. 67: i. Allegro con brio",Philharmonic Promenade Orchestra of London & Adrian Boult,Big Beethoven Box,63/176,2012,485,14.44 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"63 - Symphony No. 5 in C Minor, Op. 67_ i. Allegro con brio.mp3",Classical
"Egmont Overture, Op. 84",Philharmonic Promenade Orchestra of London & Adrian Boult,Big Beethoven Box,78/176,2012,487,14.71 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"78 - Egmont Overture, Op. 84.mp3",Classical
"Symphony No. 6, Op. 68: v. Allegretto",Philharmonic Promenade Orchestra of London & Adrian Boult,Big Beethoven Box,72/176,2012,506,14.91 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"72 - Symphony No. 6, Op. 68_ v. Allegretto.mp3",Classical
"Symphony No. 5 in C Minor, Op. 67: iv. Allegro",Philharmonic Promenade Orchestra of London & Adrian Boult,Big Beethoven Box,66/176,2012,515,15.91 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"66 - Symphony No. 5 in C Minor, Op. 67_ iv. Allegro.mp3",Classical
"Symphony No. 7 in A Major, Op. 92: III. Scherzo: Presto",Philharmonic Promenade Orchestra of London & Adrian Boult,Big Beethoven Box,76/176,2012,531,16.18 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"76 - Symphony No. 7 in A Major, Op. 92_ III. Scherzo_ Presto.mp3",Classical
"Symphony No. 5 in C Minor, Op. 67: ii. Andante con moto",Philharmonic Promenade Orchestra of London & Adrian Boult,Big Beethoven Box,64/176,2012,555,16.38 MB,7/24/2019,C:\Users\Jake\Desktop\Big Beethoven Box\,"64 - Symphony No. 5 in C Minor, Op. 67_ ii. Andante con moto.mp3",Classical
